                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 18 ATS 13 ATS 10 ATS 6 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 18 ATS 13 ATP 10 ATS 6 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 18 ATS 13 ATP 10 ATP 6 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 18 ATP 13 ATP 10 ATP 6 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  ATH 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  ATH 1000.0  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  PAB 1000.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  WAR 906.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  ATH 1000.0  PAB 1000.0  PAB 963.0  WAR 906.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  ATH 1000.0  PAB 1000.0  WAR 963.0  WAR 906.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  ATH 1000.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  PAB 1000.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATP 18 ATP 13 ATP 10 ATP 6 
WFB  PAB 1000.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATP 18 ATSL 13 ATP 10 ATP 6 
WFB  PAB 1000.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATP 18 ATSL 13 ATSL 10 ATP 6 
WFB  PAB 1000.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATP 18 ATSL 13 ATSL 10 ATSL 6 
WFB  PAB 1000.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATSL 18 ATSL 13 ATSL 10 ATSL 6 
WFB  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATSL 18 ATSL 13 ATSL 10 ATSL 6 
STR  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATSL 18 ATSL 13 ATSL 10 ATSL 6 
STR  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATSL 18 ATSL 13 R 10 ATSL 6 
STR  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATSL 18 R 13 R 10 ATSL 6 
STR  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 R 18 R 13 R 10 ATSL 6 
STR  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 R 18 R 13 R 10 R 6 
STR  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 R 18 ATFL 13 R 10 R 6 
STR  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATFL 18 ATFL 13 R 10 R 6 
STR  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATFL 18 ATFL 13 ATFL 10 R 6 
STR  WAR 971.0  WAR 987.0  WAR 963.0  WAR 906.0  0 ATFL 18 ATFL 13 ATFL 10 ATFL 6 
