                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
   MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
  WFB   WRS  199.0 WRS  199.0 WRS  199.0 WRS  199.0 0 ATS 32 ATS 22 ATS 28 ATS 49 
  WFB   WRS  199.0 WRS  199.0 WRS  199.0 WRS  199.0 0 ATS 32 ATS 22 ATP 28 ATS 49 
  WFB   WRS  199.0 WRS  199.0 WRS  199.0 WRS  199.0 0 ATP 32 ATS 22 ATP 28 ATS 49 
  WFB   WRS  199.0 WRS  199.0 WRS  199.0 WRS  199.0 0 ATP 32 ATP 22 ATP 28 ATS 49 
  WFB   WRS  199.0 WRS  199.0 WRS  199.0 WRS  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WRS  199.0 WRS  199.0 ATH  199.0 WRS  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  199.0 WRS  199.0 ATH  199.0 WRS  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  199.0 ATH  199.0 ATH  199.0 WRS  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  199.0 ATH  199.0 ATH  199.0 ATH  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  199.0 PAB  199.0 ATH  199.0 ATH  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   ATH  199.0 WAR  100.0 ATH  199.0 ATH  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   PAB  199.0 WAR  100.0 ATH  199.0 ATH  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  100.0 WAR  100.0 ATH  199.0 ATH  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  100.0 WAR  100.0 PAB  199.0 ATH  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  100.0 WAR  100.0 WAR  100.0 ATH  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  100.0 WAR  100.0 WAR  100.0 PAB  199.0 0 ATP 32 ATP 22 ATP 28 ATP 49 
  WFB   WAR  100.0 WAR  100.0 WAR  100.0 PAB  199.0 0 ATP 32 ATP 22 ASL 28 ATP 49 
  WFB   WAR  100.0 WAR  100.0 WAR  100.0 PAB  199.0 0 ASL 32 ATP 22 ASL 28 ATP 49 
  WFB   WAR  100.0 WAR  100.0 WAR  100.0 PAB  199.0 0 ASL 32 ASL 22 ASL 28 ATP 49 
  WFB   WAR  100.0 WAR  100.0 WAR  100.0 PAB  199.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
  WFB   WAR  100.0 WAR  100.0 WAR  100.0 WAR  100.0 0 ASL 32 ASL 22 ASL 28 ASL 49 
