                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 9 ATS 13 ATS 16 ATS 9 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 9 ATS 13 ATP 16 ATS 9 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 9 ATS 13 ATP 16 ATP 9 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 9 ATP 13 ATP 16 ATP 9 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  ATH 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  ATH 1000.0  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  PAB 1000.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  WAR 947.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  ATH 1000.0  ATH 1000.0  WAR 936.0  WAR 947.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  ATH 1000.0  PAB 1000.0  WAR 936.0  WAR 947.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  PAB 1000.0  PAB 1000.0  WAR 936.0  WAR 947.0  0 ATP 9 ATP 13 ATP 16 ATP 9 
WFB  PAB 1000.0  PAB 1000.0  WAR 936.0  WAR 947.0  0 ATP 9 ATP 13 ATSL 16 ATP 9 
WFB  PAB 1000.0  PAB 1000.0  WAR 936.0  WAR 947.0  0 ATSL 9 ATP 13 ATSL 16 ATP 9 
WFB  PAB 1000.0  PAB 1000.0  WAR 936.0  WAR 947.0  0 ATSL 9 ATP 13 ATSL 16 ATSL 9 
WFB  PAB 1000.0  PAB 1000.0  WAR 936.0  WAR 947.0  0 ATSL 9 ATSL 13 ATSL 16 ATSL 9 
WFB  PAB 1000.0  WAR 946.0  WAR 936.0  WAR 947.0  0 ATSL 9 ATSL 13 ATSL 16 ATSL 9 
WFB  WAR 911.0  WAR 946.0  WAR 936.0  WAR 947.0  0 ATSL 9 ATSL 13 ATSL 16 ATSL 9 
STR  WAR 911.0  WAR 946.0  WAR 936.0  WAR 947.0  0 ATSL 9 ATSL 13 ATSL 16 ATSL 9 
STR  WAR 911.0  WAR 946.0  WAR 936.0  WAR 947.0  0 ATSL 9 ATSL 13 R 16 ATSL 9 
STR  WAR 911.0  WAR 946.0  WAR 936.0  WAR 947.0  0 R 9 ATSL 13 R 16 ATSL 9 
STR  WAR 911.0  WAR 946.0  WAR 936.0  WAR 947.0  0 R 9 ATSL 13 R 16 R 9 
STR  WAR 911.0  WAR 946.0  WAR 936.0  WAR 947.0  0 R 9 R 13 R 16 R 9 
