                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
   MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
  OTE  WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATS 47 ATS 23 ATS 45 ATS 20 
  ANR  WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATS 47 ATS 23 ATS 45 ATS 20 
  WFB  WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATS 47 ATS 23 ATS 45 ATS 20 
  WFB  WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATS 47 ATP 23 ATS 45 ATS 20 
  WFB  WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATP 47 ATP 23 ATS 45 ATS 20 
  WFB  WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATP 47 ATP 23 ATS 45 ATP 20 
  WFB  WRS  100.0 WRS  100.0 WRS  100.0 WRS  100.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  WRS  100.0 WRS  100.0 WRS  100.0 ATH  100.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  WRS  100.0 WRS  100.0 WRS  100.0 PAB  100.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  WRS  100.0 WRS  100.0 ATH  100.0 PAB  100.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  WRS  100.0 ATH  100.0 ATH  100.0 PAB  100.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  ATH  100.0 ATH  100.0 ATH  100.0 PAB  1.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  ATH  100.0 ATH  100.0 ATH  100.0 WAR  1.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  ATH  100.0 PAB  100.0 ATH  100.0 WAR  1.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  ATH  100.0 WAR  1.0 ATH  100.0 WAR  1.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  ATH  100.0 WAR  1.0 PAB  100.0 WAR  1.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  ATH  100.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  PAB  100.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ATP 47 ATP 23 ATP 45 ATP 20 
  WFB  PAB  100.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 ATP 23 ATP 45 ATP 20 
  WFB  PAB  100.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 ASL 23 ATP 45 ATP 20 
  WFB  PAB  100.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 ASL 23 ATP 45 ASL 20 
  WFB  PAB  100.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 ASL 23 ASL 45 ASL 20 
  WFB  WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 ASL 23 ASL 45 ASL 20 
  STR  WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 ASL 23 ASL 45 ASL 20 
  STR  WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 RUN 23 ASL 45 ASL 20 
  STR  WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 RUN 23 ASL 45 RUN 20 
  STR  WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 RUN 23 RUN 45 RUN 20 
  STR  WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 ASL 47 AFL 23 RUN 45 RUN 20 
  STR  WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 RUN 47 AFL 23 RUN 45 RUN 20 
  STR  WAR  1.0 WAR  1.0 WAR  1.0 WAR  1.0 0 RUN 47 AFL 23 AFL 45 RUN 20 
