                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
  OTE  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  0 ATS 7 ATS 32 ATS 19 ATS 6 
  ANR  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  0 ATS 7 ATS 32 ATS 19 ATS 6 
  WFB  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  0 ATS 7 ATS 32 ATS 19 ATS 6 
  WFB  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  0 ATS 7 ATS 32 ATS 19 ATP 6 
  WFB  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  0 ATP 7 ATS 32 ATS 19 ATP 6 
  WFB  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  0 ATP 7 ATP 32 ATS 19 ATP 6 
  WFB  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  WFARTS 100.0  WFARTS 100.0  WFARTS 100.0  ATH 100.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  WFARTS 100.0  WFARTS 100.0  ATH 100.0  ATH 100.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  WFARTS 100.0  WFARTS 100.0  ATH 100.0  PAB 100.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  WFARTS 100.0  ATH 100.0  ATH 100.0  PAB 100.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  ATH 100.0  ATH 100.0  ATH 100.0  PAB 100.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  ATH 100.0  PAB 100.0  ATH 100.0  PAB 100.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  ATH 100.0  PAB 100.0  ATH 100.0  WAR 1.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  ATH 100.0  PAB 100.0  PAB 100.0  WAR 1.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  ATH 100.0  WAR 1.0  PAB 100.0  WAR 1.0  0 ATP 7 ATP 32 ATP 19 ATP 6 
  WFB  ATH 100.0  WAR 1.0  PAB 100.0  WAR 1.0  0 ATP 7 ATP 32 ATSL 19 ATP 6 
  WFB  PAB 100.0  WAR 1.0  PAB 100.0  WAR 1.0  0 ATP 7 ATP 32 ATSL 19 ATP 6 
  WFB  PAB 100.0  WAR 1.0  PAB 100.0  WAR 1.0  0 ATSL 7 ATP 32 ATSL 19 ATP 6 
  WFB  PAB 100.0  WAR 1.0  PAB 100.0  WAR 1.0  0 ATSL 7 ATSL 32 ATSL 19 ATP 6 
  WFB  PAB 100.0  WAR 1.0  PAB 100.0  WAR 1.0  0 ATSL 7 ATSL 32 ATSL 19 ATSL 6 
  WFB  PAB 100.0  WAR 1.0  WAR 1.0  WAR 1.0  0 ATSL 7 ATSL 32 ATSL 19 ATSL 6 
  WFB  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 ATSL 7 ATSL 32 ATSL 19 ATSL 6 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 ATSL 7 ATSL 32 ATSL 19 ATSL 6 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 ATSL 7 R 32 ATSL 19 ATSL 6 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 ATSL 7 R 32 ATSL 19 R 6 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 R 7 R 32 ATSL 19 R 6 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 R 7 R 32 R 19 R 6 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 R 7 ATFL 32 R 19 R 6 
