                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
   MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
  OTE  WRS 100.0  WRS 100.0  WRS 100.0  WRS 100.0  0 ATS 18 ATS 4 ATS 10 ATS 2 
  ANR  WRS 100.0  WRS 100.0  WRS 100.0  WRS 100.0  0 ATS 18 ATS 4 ATS 10 ATS 2 
  WFB  WRS 100.0  WRS 100.0  WRS 100.0  WRS 100.0  0 ATS 18 ATS 4 ATS 10 ATS 2 
  WFB  WRS 100.0  WRS 100.0  WRS 100.0  WRS 100.0  0 ATS 18 ATS 4 ATS 10 ATP 2 
  WFB  WRS 100.0  WRS 100.0  WRS 100.0  WRS 100.0  0 ATS 18 ATP 4 ATS 10 ATP 2 
  WFB  WRS 100.0  WRS 100.0  WRS 100.0  WRS 100.0  0 ATP 18 ATP 4 ATS 10 ATP 2 
  WFB  WRS 100.0  WRS 100.0  WRS 100.0  WRS 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  WRS 100.0  WRS 100.0  ATH 100.0  WRS 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  WRS 100.0  ATH 100.0  ATH 100.0  WRS 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  ATH 100.0  ATH 100.0  ATH 100.0  WRS 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  ATH 100.0  PAB 100.0  ATH 100.0  WRS 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  ATH 100.0  PAB 100.0  PAB 100.0  WRS 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  ATH 100.0  PAB 100.0  PAB 100.0  ATH 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  ATH 100.0  WAR 1.0  PAB 100.0  ATH 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  PAB 100.0  WAR 1.0  PAB 100.0  ATH 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  PAB 100.0  WAR 1.0  WAR 1.0  ATH 100.0  0 ATP 18 ATP 4 ATP 10 ATP 2 
  WFB  PAB 100.0  WAR 1.0  WAR 1.0  ATH 100.0  0 ATP 18 ATP 4 ASL 10 ATP 2 
  WFB  PAB 100.0  WAR 1.0  WAR 1.0  ATH 100.0  0 ATP 18 ATP 4 ASL 10 ASL 2 
  WFB  PAB 100.0  WAR 1.0  WAR 1.0  ATH 100.0  0 ASL 18 ATP 4 ASL 10 ASL 2 
  WFB  PAB 100.0  WAR 1.0  WAR 1.0  ATH 100.0  0 ASL 18 ASL 4 ASL 10 ASL 2 
  WFB  PAB 100.0  WAR 1.0  WAR 1.0  PAB 100.0  0 ASL 18 ASL 4 ASL 10 ASL 2 
  WFB  WAR 1.0  WAR 1.0  WAR 1.0  PAB 100.0  0 ASL 18 ASL 4 ASL 10 ASL 2 
  WFB  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 ASL 18 ASL 4 ASL 10 ASL 2 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 ASL 18 ASL 4 ASL 10 ASL 2 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 ASL 18 RUN 4 ASL 10 ASL 2 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 RUN 18 RUN 4 ASL 10 ASL 2 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 RUN 18 RUN 4 ASL 10 RUN 2 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 RUN 18 RUN 4 RUN 10 RUN 2 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 AFL 18 RUN 4 RUN 10 RUN 2 
  STR  WAR 1.0  WAR 1.0  WAR 1.0  WAR 1.0  0 AFL 18 RUN 4 AFL 10 RUN 2 
