                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 18 ATS 19 ATS 12 ATS 12 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 18 ATS 19 ATP 12 ATS 12 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 18 ATP 19 ATP 12 ATS 12 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 18 ATP 19 ATP 12 ATP 12 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  WFARTS 1000.0  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  PAB 1000.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  PAB 1000.0  ATH 1000.0  PAB 1000.0  PAB 919.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  PAB 1000.0  ATH 1000.0  PAB 1000.0  WAR 919.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  PAB 1000.0  ATH 1000.0  WAR 918.0  WAR 919.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  WAR 977.0  ATH 1000.0  WAR 918.0  WAR 919.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  WAR 977.0  PAB 1000.0  WAR 918.0  WAR 919.0  0 ATP 18 ATP 19 ATP 12 ATP 12 
WFB  WAR 977.0  PAB 1000.0  WAR 918.0  WAR 919.0  0 ATP 18 ATP 19 ATSL 12 ATP 12 
WFB  WAR 977.0  PAB 1000.0  WAR 918.0  WAR 919.0  0 ATP 18 ATSL 19 ATSL 12 ATP 12 
WFB  WAR 977.0  PAB 1000.0  WAR 918.0  WAR 919.0  0 ATSL 18 ATSL 19 ATSL 12 ATP 12 
WFB  WAR 977.0  PAB 1000.0  WAR 918.0  WAR 919.0  0 ATSL 18 ATSL 19 ATSL 12 ATSL 12 
WFB  WAR 977.0  WAR 989.0  WAR 918.0  WAR 919.0  0 ATSL 18 ATSL 19 ATSL 12 ATSL 12 
STR  WAR 977.0  WAR 989.0  WAR 918.0  WAR 919.0  0 ATSL 18 ATSL 19 ATSL 12 ATSL 12 
STR  WAR 977.0  WAR 989.0  WAR 918.0  WAR 919.0  0 ATSL 18 ATSL 19 R 12 ATSL 12 
STR  WAR 977.0  WAR 989.0  WAR 918.0  WAR 919.0  0 ATSL 18 R 19 R 12 ATSL 12 
STR  WAR 977.0  WAR 989.0  WAR 918.0  WAR 919.0  0 ATSL 18 R 19 R 12 R 12 
STR  WAR 977.0  WAR 989.0  WAR 918.0  WAR 919.0  0 R 18 R 19 R 12 R 12 
STR  WAR 977.0  WAR 989.0  WAR 918.0  WAR 919.0  0 R 18 ATFL 19 R 12 R 12 
STR  WAR 977.0  WAR 989.0  WAR 918.0  WAR 919.0  0 R 18 ATS 19 R 12 R 12 
STR  WAR 977.0  WAR 989.0  WAR 918.0  WAR 919.0  0 R 18 ATS 19 R 12 ATFL 12 
