                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 12 ATS 13 ATS 6 ATS 12 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 12 ATS 13 ATS 6 ATS 12 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 12 ATS 13 ATS 6 ATP 12 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 12 ATP 13 ATS 6 ATP 12 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 12 ATP 13 ATP 6 ATP 12 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  PAB 1000.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  WAR 953.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  ATH 1000.0  WAR 993.0  WAR 953.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  PAB 1000.0  WAR 993.0  WAR 953.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATP 12 ATP 13 ATP 6 ATP 12 
WFB  ATH 1000.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATP 12 ATP 13 ATSL 6 ATP 12 
WFB  ATH 1000.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATSL 12 ATP 13 ATSL 6 ATP 12 
WFB  ATH 1000.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATSL 12 ATP 13 ATSL 6 ATSL 12 
WFB  ATH 1000.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATSL 12 ATSL 13 ATSL 6 ATSL 12 
WFB  PAB 1000.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATSL 12 ATSL 13 ATSL 6 ATSL 12 
WFB  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATSL 12 ATSL 13 ATSL 6 ATSL 12 
STR  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATSL 12 ATSL 13 ATSL 6 ATSL 12 
STR  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 R 12 ATSL 13 ATSL 6 ATSL 12 
STR  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 R 12 R 13 ATSL 6 ATSL 12 
STR  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 R 12 R 13 ATSL 6 R 12 
STR  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 R 12 R 13 R 6 R 12 
STR  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATFL 12 R 13 R 6 R 12 
STR  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATFL 12 R 13 R 6 ATFL 12 
STR  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATFL 12 ATFL 13 R 6 ATFL 12 
STR  WAR 974.0  WAR 941.0  WAR 993.0  WAR 953.0  0 ATFL 12 ATFL 13 ATFL 6 ATFL 12 
